field_id,source_model,field_name,field_display_name_ja,target_model,relation_table,relation_column1,relation_column2,field_state,field_class_initial
4912,account.account,company_ids,会社,res.company,account_account_res_company_rel,account_account_id,res_company_id,base,SF
4886,account.account,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
4914,account.account,tag_ids,タグ,account.account.tag,account_account_account_tag,account_account_id,account_account_tag_id,base,SF
4910,account.account,tax_ids,デフォルト税,account.tax,account_account_tax_default_rel,account_id,tax_id,base,SF
8936,account.analytic.account,bom_ids,部品表,mrp.bom,account_analytic_account_mrp_bom_rel,account_analytic_account_id,mrp_bom_id,base,SF
3288,account.analytic.account,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
8934,account.analytic.account,production_ids,生産,mrp.production,account_analytic_account_mrp_production_rel,account_analytic_account_id,mrp_production_id,base,SF
8938,account.analytic.account,workcenter_ids,作業区,mrp.workcenter,account_analytic_account_mrp_workcenter_rel,account_analytic_account_id,mrp_workcenter_id,base,SF
3347,account.analytic.distribution.model,distribution_analytic_account_ids,分配分析勘定,account.analytic.account,,,,base,SF
6028,account.automatic.entry.wizard,move_line_ids,移動明細,account.move.line,account_automatic_entry_wizard_account_move_line_rel,account_automatic_entry_wizard_id,account_move_line_id,base,SF
5589,account.bank.statement,attachment_ids,添付,ir.attachment,account_bank_statement_ir_attachment_rel,account_bank_statement_id,ir_attachment_id,base,SF
5672,account.bank.statement.line,adjusting_entries_move_ids,作成済調整仕訳,account.move,,,,base,SF
5669,account.bank.statement.line,adjusting_entry_origin_move_ids,仕訳元記帳の調整,account.move,,,,base,SF
6541,account.bank.statement.line,authorized_transaction_ids,承認された取引,payment.transaction,,,,base,SF
5772,account.bank.statement.line,duplicated_ref_ids,重複した番号,account.move,,,,base,SF
5665,account.bank.statement.line,matched_payment_ids,照合済支払,account.payment,,,,base,SF
5639,account.bank.statement.line,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
5600,account.bank.statement.line,payment_ids,自動生成された支払,account.payment,account_payment_account_bank_statement_line_rel,account_bank_statement_line_id,account_payment_id,base,SF
5666,account.bank.statement.line,reconciled_payment_ids,消込済の支払い,account.payment,,,,base,SF
5684,account.bank.statement.line,suitable_journal_ids,適用可能な仕訳帳,account.journal,,,,base,SF
6540,account.bank.statement.line,transaction_ids,取引,payment.transaction,,,,base,SF
8979,account.bank.statement.line,wip_production_ids,関連WIP製造オーダ,mrp.production,,,,base,SF
4756,account.fiscal.position,state_ids,州,res.country.state,account_fiscal_position_res_country_state_rel,account_fiscal_position_id,res_country_state_id,base,SF
4746,account.fiscal.position,tax_ids,税金,account.tax,account_fiscal_position_account_tax_rel,account_fiscal_position_id,account_tax_id,base,SF
5025,account.journal,available_payment_method_ids,利用可能な支払い方法,account.payment.method,,,,base,SF
5024,account.journal,journal_group_ids,元帳グループ,account.journal.group,account_journal_account_journal_group_rel,account_journal_id,account_journal_group_id,base,SF
4972,account.journal,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
4952,account.journal.group,excluded_journal_ids,除外する仕訳帳,account.journal,account_journal_account_journal_group_rel,account_journal_group_id,account_journal_id,base,SF
6304,account.merge.wizard,account_ids,勘定科目,account.account,account_account_account_merge_wizard_rel,account_merge_wizard_id,account_account_id,base,SF
6320,account.merge.wizard.line,company_ids,会社,res.company,,,,base,SF
4612,account.move,adjusting_entries_move_ids,作成済調整仕訳,account.move,adjusting_entries__account_move,adjusting_entry_move_id,move_id,base,SF
4609,account.move,adjusting_entry_origin_move_ids,仕訳元記帳の調整,account.move,adjusting_entries__account_move,move_id,adjusting_entry_move_id,base,SF
6498,account.move,authorized_transaction_ids,承認された取引,payment.transaction,,,,base,SF
4716,account.move,duplicated_ref_ids,重複した番号,account.move,,,,base,SF
4604,account.move,matched_payment_ids,照合済支払,account.payment,account_move__account_payment,invoice_id,payment_id,base,SF
4576,account.move,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
4605,account.move,reconciled_payment_ids,消込済の支払い,account.payment,,,,base,SF
4624,account.move,suitable_journal_ids,適用可能な仕訳帳,account.journal,,,,base,SF
6497,account.move,transaction_ids,取引,payment.transaction,account_invoice_transaction_rel,invoice_id,transaction_id,base,SF
8953,account.move,wip_production_ids,関連WIP製造オーダ,mrp.production,wip_move_production_rel,move_id,production_id,base,SF
5415,account.move.line,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
5353,account.move.line,distribution_analytic_account_ids,分配分析勘定,account.analytic.account,,,,base,SF
5403,account.move.line,reconciled_lines_excluding_exchange_diff_ids,為替差損益を除く消込済仕訳明細,account.move.line,,,,base,SF
5402,account.move.line,reconciled_lines_ids,消込済明細,account.move.line,,,,base,SF
6553,account.move.line,sale_line_ids,販売オーダ明細,sale.order.line,sale_order_line_invoice_rel,invoice_line_id,order_line_id,base,SF
5388,account.move.line,tax_ids,税金,account.tax,account_move_line_account_tax_rel,account_move_line_id,account_tax_id,base,SF
5394,account.move.line,tax_tag_ids,タグ,account.account.tag,account_account_tag_account_move_line_rel,account_move_line_id,account_account_tag_id,base,SF
6078,account.move.reversal,available_journal_ids,利用可能な仕訳帳,account.journal,,,,base,SF
6072,account.move.reversal,move_ids,仕訳,account.move,account_move_reversal_move,reversal_id,move_id,base,SF
6073,account.move.reversal,new_move_ids,新しい移動,account.move,account_move_reversal_new_move,reversal_id,new_move_id,base,SF
6222,account.move.send.batch.wizard,move_ids,仕訳,account.move,account_move_account_move_send_batch_wizard_rel,account_move_send_batch_wizard_id,account_move_id,base,SF
6210,account.move.send.wizard,mail_partner_ids,終了日,res.partner,account_move_send_wizard_res_partner_rel,account_move_send_wizard_id,res_partner_id,base,SF
5514,account.payment,available_journal_ids,利用可能な仕訳帳,account.journal,,,,base,SF
5507,account.payment,available_partner_bank_ids,使用可能なパートナー銀行,res.partner.bank,,,,base,SF
5512,account.payment,available_payment_method_line_ids,利用可能な支払方法ライン,account.payment.method.line,,,,base,SF
5541,account.payment,duplicate_payment_ids,支払を複製,account.payment,,,,base,SF
5525,account.payment,invoice_ids,顧客請求書,account.move,account_move__account_payment,payment_id,invoice_id,base,SF
5487,account.payment,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
5529,account.payment,reconciled_bill_ids,消込済手形,account.move,,,,base,SF
5526,account.payment,reconciled_invoice_ids,消込済請求書,account.move,,,,base,SF
5531,account.payment,reconciled_statement_line_ids,消込済明細の明細,account.bank.statement.line,,,,base,SF
6504,account.payment,suitable_payment_token_ids,適切な支払トークン,payment.token,,,,base,SF
5567,account.payment.method.line,available_payment_method_ids,利用可能な支払い方法,account.payment.method,,,,base,SF
6243,account.payment.register,available_journal_ids,利用可能な仕訳帳,account.journal,,,,base,SF
6244,account.payment.register,available_partner_bank_ids,使用可能なパートナー銀行,res.partner.bank,,,,base,SF
6265,account.payment.register,available_payment_method_line_ids,利用可能な支払方法ライン,account.payment.method.line,,,,base,SF
6276,account.payment.register,duplicate_payment_ids,支払を複製,account.payment,,,,base,SF
6254,account.payment.register,line_ids,仕訳明細,account.move.line,account_payment_register_move_line_rel,wizard_id,line_id,base,SF
6282,account.payment.register,missing_account_partners,取引先口座がありません,res.partner,,,,base,SF
6515,account.payment.register,suitable_payment_token_ids,適切な支払トークン,payment.token,,,,base,SF
6279,account.payment.register,untrusted_bank_ids,信頼できない銀行,res.partner.bank,,,,base,SF
5300,account.reconcile.model,match_journal_ids,仕訳帳,account.journal,account_journal_account_reconcile_model_rel,account_reconcile_model_id,account_journal_id,base,SF
5306,account.reconcile.model,match_partner_ids,取引先,res.partner,account_reconcile_model_res_partner_rel,account_reconcile_model_id,res_partner_id,base,SF
5282,account.reconcile.model,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
5263,account.reconcile.model.line,distribution_analytic_account_ids,分配分析勘定,account.analytic.account,,,,base,SF
5273,account.reconcile.model.line,tax_ids,税金,account.tax,account_reconcile_model_line_account_tax_rel,account_reconcile_model_line_id,account_tax_id,base,SF
5915,account.report,section_main_report_ids,以下のセクション:,account.report,account_report_section_rel,sub_report_id,main_report_id,base,SF
5914,account.report,section_report_ids,セクション,account.report,account_report_section_rel,main_report_id,sub_report_id,base,SF
6094,account.resequence.wizard,move_ids,仕訳,account.move,account_move_account_resequence_wizard_rel,account_resequence_wizard_id,account_move_id,base,SF
6110,account.secure.entries.wizard,move_to_hash_ids,ハッシュに移動,account.move,,,,base,SF
6109,account.secure.entries.wizard,not_hashable_unlocked_move_ids,ハッシュ化不可 ロック解除済仕訳,account.move,,,,base,SF
6108,account.secure.entries.wizard,unreconciled_bank_statement_line_ids,未消込銀行取引明細書の明細,account.bank.statement.line,,,,base,SF
6187,account.setup.bank.manual.config,duplicate_bank_partner_ids,重複銀行口座のある取引先,res.partner,,,,base,SF
6152,account.setup.bank.manual.config,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
5213,account.tax,children_tax_ids,子供税,account.tax,account_tax_filiation_rel,parent_tax,child_tax,base,SF
5206,account.tax,fiscal_position_ids,会計ポジション,account.fiscal.position,account_fiscal_position_account_tax_rel,account_tax_id,account_fiscal_position_id,base,SF
5192,account.tax,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
5207,account.tax,original_tax_ids,置換える税,account.tax,account_tax_alternatives,dest_tax_id,src_tax_id,base,SF
5208,account.tax,replacing_tax_ids,置き換え先：,account.tax,account_tax_alternatives,src_tax_id,dest_tax_id,base,SF
5249,account.tax.repartition.line,tag_ids,税グリッド,account.account.tag,account_account_tag_account_tax_repartition_line_rel,account_tax_repartition_line_id,account_account_tag_id,base,SF
3342,analytic.mixin,distribution_analytic_account_ids,分配分析勘定,account.analytic.account,,,,base,SF
1521,base.language.export,modules,エクスポートするモジュール,ir.module.module,rel_modules_langexport,wiz_id,module_id,base,SF
1480,base.language.install,lang_ids,言語,res.lang,res_lang_install_rel,language_wizard_id,lang_id,base,SF
3369,base.module.install.request,user_ids,以下に送信:,res.users,,,,base,SF
3378,base.module.install.review,module_ids,依存アプリ,ir.module.module,,,,base,SF
1509,base.module.uninstall,impacted_module_ids,影響を受けるモジュール,ir.module.module,,,,base,SF
1510,base.module.uninstall,model_ids,影響を受けるモデル,ir.model,,,,base,SF
1508,base.module.uninstall,module_ids,モジュール,ir.module.module,base_module_uninstall_ir_module_module_rel,base_module_uninstall_id,ir_module_module_id,base,SF
1551,base.partner.merge.automatic.wizard,partner_ids,連絡先,res.partner,base_partner_merge_automatic_wizard_res_partner_rel,base_partner_merge_automatic_wizard_id,res_partner_id,base,SF
8929,confirm.stock.sms,pick_ids,ピッキング,stock.picking,stock_picking_sms_rel,confirm_stock_sms_id,stock_picking_id,base,SF
4091,crm.team,favorite_user_ids,お気に入りメンバー,res.users,team_favorite_user_rel,team_id,user_id,base,SF
4086,crm.team,member_company_ids,メンバー会社,res.company,,,,base,SF
4085,crm.team,member_ids,販売担当者,res.users,,,,base,SF
4070,crm.team,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
4041,crm.team.member,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
4052,crm.team.member,user_company_ids,ユーザーの会社,res.company,,,,base,SF
4051,crm.team.member,user_in_teams_ids,チーム内のユーザー,res.users,,,,base,SF
4362,digest.digest,user_ids,宛先,res.users,digest_digest_res_users_rel,digest_digest_id,res_users_id,base,SF
4382,digest.tip,user_ids,宛先,res.users,digest_tip_res_users_rel,digest_tip_id,res_users_id,base,SF
3013,discuss.channel,channel_partner_ids,取引先,res.partner,,,,base,SF
3029,discuss.channel,group_ids,自動サブスクリプション,res.groups,discuss_channel_res_groups_rel,discuss_channel_id,res_groups_id,base,SF
2996,discuss.channel,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
1808,iap.account,company_ids,会社,res.company,iap_account_res_company_rel,iap_account_id,res_company_id,base,SF
3403,iap.account,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
1811,iap.account,warning_user_ids,Eメール警告受信者,res.users,iap_account_res_users_rel,iap_account_id,res_users_id,base,SF
286,ir.actions.act_window,group_ids,グループ,res.groups,ir_act_window_group_rel,act_id,gid,base,SF
468,ir.actions.report,group_ids,グループ,res.groups,res_groups_report_rel,uid,gid,base,SF
370,ir.actions.server,available_model_ids,利用可能モデル,ir.model,,,,base,SF
381,ir.actions.server,group_ids,許可されたグループ,res.groups,ir_act_server_group_rel,act_id,gid,base,SF
2784,ir.actions.server,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
2803,ir.actions.server,partner_ids,取引先,res.partner,ir_act_server_res_partner_rel,ir_act_server_id,res_partner_id,base,SF
396,ir.actions.server,webhook_field_ids,Webhookフィールド,ir.model.fields,ir_act_server_webhook_field_rel,server_id,field_id,base,SF
533,ir.cron,available_model_ids,利用可能モデル,ir.model,,,,base,SF
544,ir.cron,group_ids,許可されたグループ,res.groups,,,,base,SF
2827,ir.cron,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
2850,ir.cron,partner_ids,取引先,res.partner,,,,base,SF
559,ir.cron,webhook_field_ids,Webhookフィールド,ir.model.fields,,,,base,SF
444,ir.embedded.actions,groups_ids,グループ,res.groups,ir_embedded_actions_res_groups_rel,ir_embedded_actions_id,res_groups_id,base,SF
583,ir.filters,user_ids,ユーザ,res.users,ir_filters_res_users_rel,ir_filters_id,res_users_id,base,SF
12,ir.model,inherited_model_ids,継承モデル,ir.model,,,,base,SF
51,ir.model.fields,groups,グループ,res.groups,ir_model_fields_group_rel,field_id,group_id,base,SF
768,ir.module.module,country_ids,国,res.country,module_country,module_id,country_id,base,SF
630,ir.rule,groups,グループ,res.groups,rule_group_rel,rule_group_id,group_id,base,SF
175,ir.ui.menu,group_ids,グループ,res.groups,ir_ui_menu_group_rel,menu_id,gid,base,SF
210,ir.ui.view,group_ids,グループ,res.groups,ir_ui_view_group_rel,view_id,group_id,base,SF
7990,lot.label.layout,move_line_ids,移動明細,stock.move.line,lot_label_layout_stock_move_line_rel,lot_label_layout_id,stock_move_line_id,base,SF
2364,mail.activity,attachment_ids,添付,ir.attachment,activity_attachment_rel,activity_id,attachment_id,base,SF
2371,mail.activity,mail_template_ids,メールテンプレート,mail.template,,,,base,SF
2408,mail.activity.plan.template,next_activity_ids,次の活動,mail.activity.type,mail_activity_plan_template_mail_activity_type_rel,mail_activity_plan_template_id,mail_activity_type_id,base,SF
3184,mail.activity.schedule,plan_available_ids,利用可能な計画,mail.activity.plan,mail_activity_plan_mail_activity_schedule_rel,mail_activity_schedule_id,mail_activity_plan_id,base,SF
2340,mail.activity.type,mail_template_ids,メールテンプレート,mail.template,mail_activity_type_mail_template_rel,mail_activity_type_id,mail_template_id,base,SF
2338,mail.activity.type,previous_type_ids,先行する活動,mail.activity.type,mail_activity_rel,recommended_id,activity_id,base,SF
2337,mail.activity.type,suggested_next_type_ids,提案,mail.activity.type,mail_activity_rel,activity_id,recommended_id,base,SF
2417,mail.blacklist,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
2748,mail.canned.response,group_ids,承認グループ,res.groups,mail_canned_response_res_groups_rel,mail_canned_response_id,res_groups_id,base,SF
3134,mail.compose.message,attachment_ids,添付,ir.attachment,mail_compose_message_ir_attachments_rel,wizard_id,attachment_id,base,SF
3156,mail.compose.message,partner_ids,追加連絡先,res.partner,mail_compose_message_res_partner_rel,wizard_id,partner_id,base,SF
2436,mail.followers,subtype_ids,サブタイプ,mail.message.subtype,mail_followers_mail_message_subtype_rel,mail_followers_id,mail_message_subtype_id,base,SF
3246,mail.followers.edit,partner_ids,フォロワー,res.partner,mail_followers_edit_res_partner_rel,mail_followers_edit_id,res_partner_id,base,SF
3070,mail.guest,channel_ids,チャネル,discuss.channel,discuss_channel_member,guest_id,channel_id,base,SF
2598,mail.mail,attachment_ids,添付,ir.attachment,,,,base,SF
2595,mail.mail,linked_message_ids,リンクされたメッセージ,mail.message,,,,base,SF
2618,mail.mail,notified_partner_ids,アクションが必要な取引先,res.partner,,,,base,SF
2614,mail.mail,partner_ids,宛先,res.partner,,,,base,SF
2580,mail.mail,recipient_ids,宛先 (取引先),res.partner,mail_mail_res_partner_rel,mail_mail_id,res_partner_id,base,SF
2622,mail.mail,starred_partner_ids,いいねした人,res.partner,,,,base,SF
2576,mail.mail,unrestricted_attachment_ids,制限されていない添付,ir.attachment,,,,base,SF
2524,mail.message,attachment_ids,添付,ir.attachment,message_attachment_rel,message_id,attachment_id,base,SF
2521,mail.message,linked_message_ids,リンクされたメッセージ,mail.message,,,,base,SF
2545,mail.message,notified_partner_ids,アクションが必要な取引先,res.partner,mail_notification,mail_message_id,res_partner_id,base,SF
2541,mail.message,partner_ids,宛先,res.partner,mail_message_res_partner_rel,mail_message_id,res_partner_id,base,SF
2549,mail.message,starred_partner_ids,いいねした人,res.partner,mail_message_res_partner_starred_rel,mail_message_id,res_partner_id,base,SF
2665,mail.scheduled.message,attachment_ids,添付,ir.attachment,scheduled_message_attachment_rel,scheduled_message_id,attachment_id,base,SF
2670,mail.scheduled.message,partner_ids,宛先,res.partner,mail_scheduled_message_res_partner_rel,mail_scheduled_message_id,res_partner_id,base,SF
2718,mail.template,attachment_ids,添付,ir.attachment,email_template_attachment_rel,email_template_id,attachment_id,base,SF
2719,mail.template,report_template_ids,ダイナミックレポート,ir.actions.report,mail_template_ir_actions_report_rel,mail_template_id,ir_actions_report_id,base,SF
3226,mail.template.preview,attachment_ids,添付,ir.attachment,,,,base,SF
3229,mail.template.preview,partner_ids,宛先,res.partner,,,,base,SF
3236,mail.template.reset,template_ids,テンプレート,mail.template,mail_template_mail_template_reset_rel,mail_template_reset_id,mail_template_id,base,SF
2215,mail.thread,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
2227,mail.thread.blacklist,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
2242,mail.thread.cc,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
2255,mail.thread.main.attachment,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
3457,mail.thread.phone,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
2268,mail.tracking.duration.mixin,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
8974,mrp.account.wip.accounting,mo_ids,製造オーダ,mrp.production,mrp_account_wip_accounting_mrp_production_rel,mrp_account_wip_accounting_id,mrp_production_id,base,SF
8173,mrp.bom,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
8200,mrp.bom,possible_product_template_attribute_value_ids,可能なプロダクトテンプレート属性値,product.template.attribute.value,,,,base,SF
8243,mrp.bom.byproduct,bom_product_template_attribute_value_ids,バリアントに適用,product.template.attribute.value,mrp_bom_byproduct_product_template_attribute_value_rel,mrp_bom_byproduct_id,product_template_attribute_value_id,base,SF
8242,mrp.bom.byproduct,possible_bom_product_template_attribute_value_ids,可能なプロダクトテンプレート属性値,product.template.attribute.value,,,,base,SF
8222,mrp.bom.line,bom_product_template_attribute_value_ids,バリアントに適用,product.template.attribute.value,mrp_bom_line_product_template_attribute_value_rel,mrp_bom_line_id,product_template_attribute_value_id,base,SF
8221,mrp.bom.line,possible_bom_product_template_attribute_value_ids,可能なプロダクトテンプレート属性値,product.template.attribute.value,,,,base,SF
8746,mrp.consumption.warning,mrp_production_ids,MRP生産,mrp.production,mrp_consumption_warning_mrp_production_rel,mrp_consumption_warning_id,mrp_production_id,base,SF
8456,mrp.production,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
8458,mrp.production,lot_producing_ids,ロット/シリアル番号,stock.lot,mrp_production_stock_lot_rel,mrp_production_id,stock_lot_id,base,SF
8433,mrp.production,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
8451,mrp.production,never_product_template_attribute_value_ids,値を割当てない,product.template.attribute.value,template_attribute_value_mrp_production_rel,production_id,template_attribute_value_id,base,SF
8502,mrp.production,picking_ids,この製造オーダに関連したピッキング,stock.picking,,,,base,SF
8449,mrp.production,product_variant_attributes,属性値,product.template.attribute.value,,,,base,SF
